# LESEPROTOKOLL — maschinell erzeugt, ueberpruefbar
# Repo: EditorAufbauV3  Branch: master (cd94164)
# Erzeugt: 2026-09-04T08:32:48Z
# Spalten: STATUS | ZEILEN | SHA1 | DATEI
#
INVENTUR|   653|a14c98fb5922|docs/chef-maske/BeispielBeleg.html
INVENTUR|   133|6dd6e255a515|docs/chef-maske/JsonBeleg.json
INVENTUR|    11|1d2f9541ce7f|docs/chef-maske/behandlung/index.basis.SEvariablen.json
INVENTUR|  1966|777e8bfb4c6e|docs/chef-maske/behandlung/index.basis.source.html
INVENTUR|    11|3098ad5aa0e4|docs/chef-maske/empfang/index.basis.SEvariablen.json
INVENTUR|  2987|d307fa2a7bb2|docs/chef-maske/empfang/index.basis.source.html
INVENTUR|    54|7a052f00e510|docs/softengine-wiki/README.md
INVENTUR|   168|8ae3bb71faea|docs/softengine-wiki/html-editor-module.md
INVENTUR|   299|c1fde63bc70d|docs/softengine-wiki/kontrakte.md
INVENTUR|    47|004e8d9859bc|docs/softengine-wiki/muster-satz-anlegen.md
INVENTUR|   333|cd03d096c1e1|docs/softengine-wiki/parser-direktiven.md
INVENTUR|   425|d01145a5881b|entwurf/belegerfassung-musterbogen.dc.html
INVENTUR|   328|ab7a986d293d|entwurf/relationen-bedienung.html
INVENTUR|     5|c8367f316b72|src/app/App.tsx
INVENTUR|    46|0fafad344816|src/app/Fehlergrenze.tsx
INVENTUR|    39|10f8d6698fe9|src/app/providers.tsx
INVENTUR|    38|cbc1fdb26a35|src/blocks/ansicht/AnsichtBlock.ts
INVENTUR|     5|dd82ba21a14e|src/blocks/ansicht/editorAngaben.ts
VOLL   |   123|728b011d99cc|src/blocks/base/BasicBlock.ts
INVENTUR|    75|6a5fdf1abf38|src/blocks/bild/BildBlock.ts
INVENTUR|    96|16145f9284da|src/blocks/button/ButtonBlock.ts
INVENTUR|     7|ea3dc51d7b0a|src/blocks/button/editorAngaben.ts
VOLL   |   159|87d2950a2b7f|src/blocks/card/CardBlock.ts
INVENTUR|     7|992f165cf5e1|src/blocks/card/editorAngaben.ts
VOLL   |   151|1c0a8fed54d3|src/blocks/card/kartenStil.ts
INVENTUR|   157|bffe131d89b4|src/blocks/datum/DatumBlock.ts
INVENTUR|     7|880403dacbbe|src/blocks/datum/editorAngaben.ts
INVENTUR|   519|6b91b4f6658e|src/blocks/formfeld/FormFeldBlock.ts
INVENTUR|     7|ada315ca8190|src/blocks/formfeld/editorAngaben.ts
INVENTUR|    64|8bb5f087d889|src/blocks/formfeld/feldEigenschaften.ts
INVENTUR|    95|6743389ff381|src/blocks/formfeld/feldRuntime.ts
INVENTUR|   126|28f3ce5957cc|src/blocks/formfeld/feldStil.ts
INVENTUR|    19|86588779105e|src/blocks/formfeld/feldTypen.ts
VOLL   |   106|bb1180eae93d|src/blocks/kanban/KanbanBlock.ts
VOLL   |   189|40d2e72a6a04|src/blocks/kanban/KanbanSpalteBlock.ts
INVENTUR|    94|58b0f08dc1a1|src/blocks/kanban/KanbanZimmerBlock.ts
INVENTUR|    12|cf76935c1211|src/blocks/kanban/editorAngaben.ts
INVENTUR|     6|0c1a08109076|src/blocks/kanban/kartenAbstand.ts
TEIL   |   263|0c7b128c7716|src/blocks/kanban/seRuntime.ts
INVENTUR|   129|8f02681c22a3|src/blocks/navi/NaviBlock.ts
INVENTUR|   120|99f0a57bae5d|src/blocks/navi/NaviEintragBlock.ts
INVENTUR|    12|cdb8b34b8e0a|src/blocks/navi/editorAngaben.ts
INVENTUR|    94|57cd9d33eced|src/blocks/navi/seRuntime.ts
INVENTUR|   118|f467f65c2373|src/blocks/popup/PopupBlock.ts
INVENTUR|     7|153a3286202c|src/blocks/popup/editorAngaben.ts
INVENTUR|    15|d49b69c8f822|src/blocks/register.ts
INVENTUR|    13|1a626acec85d|src/blocks/registerEditorAngaben.ts
INVENTUR|   303|7e1b29e23280|src/blocks/shared/DialogRahmen.ts
INVENTUR|   169|88d095762abb|src/blocks/shared/auswahl.ts
INVENTUR|    72|1c256e6428c1|src/blocks/shared/auswahlGeber.test.ts
VOLL   |    54|402e88cfaea6|src/blocks/shared/datenAnschluss.ts
INVENTUR|    31|320f62ed2395|src/blocks/shared/datenVorspann.ts
INVENTUR|    24|a0ea139509e9|src/blocks/shared/datumSchluessel.ts
INVENTUR|    99|5909da7d56a2|src/blocks/shared/fremdeQuellen.ts
INVENTUR|    52|b631cec26b01|src/blocks/shared/gebundeneStelle.ts
INVENTUR|    21|d6bbfc31fec6|src/blocks/shared/gewaehlterTag.ts
INVENTUR|   118|a75e370d547a|src/blocks/shared/holendeQuellen.test.ts
INVENTUR|   152|69406c73d441|src/blocks/shared/holendeQuellen.ts
INVENTUR|    27|7276eea0c8e3|src/blocks/shared/jaNeinProperty.ts
INVENTUR|    41|52567f3b0c4e|src/blocks/shared/leerZustand.ts
INVENTUR|    12|104a3e481147|src/blocks/shared/lupeZeichen.ts
INVENTUR|   451|7f2cf6e989ff|src/blocks/shared/nachschlagen.ts
INVENTUR|    59|750df2e0d596|src/blocks/shared/paarListe.ts
INVENTUR|     7|1bce057c4b14|src/blocks/shared/pfote.ts
INVENTUR|   489|5a152c856cf4|src/blocks/shared/seAktionen.test.ts
INVENTUR|   453|a248b83d5680|src/blocks/shared/seAktionen.ts
INVENTUR|    75|aef7661b3aba|src/blocks/shared/statusVariant.ts
INVENTUR|    11|5aef9bbf551e|src/blocks/shared/tagFilter.ts
INVENTUR|    26|982ffe2a64a1|src/blocks/shared/textMarke.ts
INVENTUR|    11|21ef0c6eaf94|src/blocks/shared/textSuche.ts
INVENTUR|    12|7634b74d145d|src/blocks/shared/tierBilder.ts
INVENTUR|    39|caca62abcdca|src/blocks/shared/tierIcon.ts
INVENTUR|    83|07c94373e776|src/blocks/shared/umbenennen.ts
INVENTUR|   126|85f1f4b4c8bb|src/blocks/shared/vormerkStand.test.ts
INVENTUR|    90|edbfe0a0b82c|src/blocks/shared/vormerkStand.ts
INVENTUR|   211|8fc53a7b3b10|src/blocks/shared/vorschlagListe.test.ts
INVENTUR|   264|a153c9a61bde|src/blocks/shared/vorschlagListe.ts
INVENTUR|    14|1abe6ebcd497|src/blocks/shared/zielStil.ts
VOLL   |   722|e91be842dada|src/blocks/tabelle/TabelleBlock.ts
INVENTUR|    76|c5f613bc89ca|src/blocks/tabelle/aenderungen.test.ts
INVENTUR|    77|86f48e411b45|src/blocks/tabelle/aenderungen.ts
INVENTUR|   175|272518101fcc|src/blocks/tabelle/ansichtsStand.ts
INVENTUR|    19|cd5fef44016e|src/blocks/tabelle/datenBesitz.ts
INVENTUR|     7|a1055661f4b5|src/blocks/tabelle/editorAngaben.ts
INVENTUR|    57|7a7b92512fa2|src/blocks/tabelle/erfassungStil.ts
INVENTUR|   261|8c4954f7cb72|src/blocks/tabelle/erfassungsAnschluss.test.ts
INVENTUR|   254|4a7a0a76280c|src/blocks/tabelle/erfassungsAnschluss.ts
INVENTUR|    94|0f9d0ccc4712|src/blocks/tabelle/erfassungsBedienung.test.ts
INVENTUR|   189|de73b21f0c43|src/blocks/tabelle/erfassungsBedienung.ts
INVENTUR|   426|b533380eb1f2|src/blocks/tabelle/erfassungsLauf.test.ts
TEIL   |   518|5e88a628bab2|src/blocks/tabelle/erfassungsLauf.ts
INVENTUR|   122|345ca74e6698|src/blocks/tabelle/erfassungsZeile.ts
INVENTUR|   151|b731d51e6928|src/blocks/tabelle/erfassungsZellen.test.ts
INVENTUR|   157|4f2d7ed6e853|src/blocks/tabelle/erfassungsZellen.ts
INVENTUR|    59|6c10f4a1d4df|src/blocks/tabelle/rumpfMessung.ts
INVENTUR|    76|0ebe611eed3b|src/blocks/tabelle/seRuntime.ts
VOLL   |    89|da0f6a2942ed|src/blocks/tabelle/seitengroesse.ts
INVENTUR|    30|df62abd66a60|src/blocks/tabelle/sortierung.test.ts
TEIL   |    98|d19f09b0bd5b|src/blocks/tabelle/sortierung.ts
INVENTUR|   208|ec743c0bdf3b|src/blocks/tabelle/spalten.test.ts
VOLL   |   229|b722bb5f6a76|src/blocks/tabelle/spalten.ts
INVENTUR|   156|5187d67a1ecb|src/blocks/tabelle/spaltenBearbeiten.test.ts
VOLL   |    96|a963017fa5d6|src/blocks/tabelle/spaltenBearbeiten.ts
INVENTUR|    44|e2f1dcfce5d5|src/blocks/tabelle/spaltenBindung.test.ts
VOLL   |    99|e544e5b1237e|src/blocks/tabelle/spaltenBindung.ts
INVENTUR|    87|3ef61a6740a1|src/blocks/tabelle/spaltenBreite.test.ts
VOLL   |   150|88553d9e24eb|src/blocks/tabelle/spaltenBreite.ts
INVENTUR|   115|9c70bf9276ed|src/blocks/tabelle/spaltenWahl.ts
INVENTUR|    45|1baa7604d794|src/blocks/tabelle/suche.ts
INVENTUR|    92|483b4092482c|src/blocks/tabelle/tabelleAnsicht.test.ts
VOLL   |   174|e586ce33937d|src/blocks/tabelle/tabelleAnsicht.ts
VOLL   |    52|2f9fa55a8a23|src/blocks/tabelle/tabelleEigenschaften.ts
VOLL   |    76|88d0be88e519|src/blocks/tabelle/tabelleFuss.ts
TEIL   |   352|86fc53e5db04|src/blocks/tabelle/tabelleKoerper.ts
INVENTUR|   479|54b5076a820e|src/blocks/tabelle/tabelleStil.ts
INVENTUR|    28|3abda1420fe0|src/blocks/tabelle/zahlFormat.ts
INVENTUR|   164|155cc442245a|src/blocks/tabelle/zeilenAktivierung.test.ts
INVENTUR|    78|725c209a163c|src/blocks/tabelle/zeilenAktivierung.ts
INVENTUR|    47|a43209d597be|src/blocks/tabelle/zeilenAuswahl.test.ts
INVENTUR|   255|00500c165b9c|src/blocks/tabelle/zeilenBearbeitung.ts
INVENTUR|    48|6d67cab9adb1|src/blocks/tabelle/zeilenEreignisse.ts
INVENTUR|    72|bbd97da04bc9|src/blocks/tabelle/zeilenStatus.test.ts
INVENTUR|    92|f9e8b1a04795|src/blocks/tabelle/zeilenStatus.ts
INVENTUR|   185|1e88bce0c00b|src/blocks/text/TextBlock.ts
INVENTUR|     7|9dcce71857b7|src/blocks/text/editorAngaben.ts
INVENTUR|    34|48438f553843|src/blocks/text/seRuntime.ts
INVENTUR|    79|3543df17708c|src/blocks/trenner/TrennerBlock.ts
INVENTUR|     7|62fa03772efd|src/blocks/trenner/editorAngaben.ts
VOLL   |    73|27505b17e5e1|src/core/blocks/BlockComponent.ts
VOLL   |    16|9582b3c26565|src/core/blocks/BlockData.ts
VOLL   |   215|89f6e4ec093a|src/core/blocks/BlockDefinition.ts
INVENTUR|    87|f1742c6d5e38|src/core/blocks/PropertyDescription.ts
INVENTUR|    61|a5f096e07669|src/core/blocks/bausteinName.ts
INVENTUR|    25|aa0ca77e6a3c|src/core/blocks/bindung.ts
VOLL   |    33|281cb50889af|src/core/blocks/blockFactory.ts
VOLL   |    30|aaacb89f020e|src/core/blocks/blockRegistry.ts
INVENTUR|    22|81a8453df24e|src/core/blocks/editorAngaben.ts
INVENTUR|    63|f90c461673c2|src/core/blocks/flowLayout.ts
INVENTUR|   152|ec2c638f0d1d|src/core/blocks/listenBindung.test.ts
INVENTUR|   242|fc8032163c60|src/core/blocks/listenBindung.ts
INVENTUR|    14|5f1f48263ad6|src/core/blocks/maskenName.ts
INVENTUR|    26|f54e2ab03fa4|src/core/blocks/maskenRand.ts
INVENTUR|     3|64dcdaab98ba|src/core/blocks/quelleProp.ts
INVENTUR|   119|1af22d4e2009|src/core/blocks/rasterLayout.ts
INVENTUR|     5|8ae790ff89a5|src/core/blocks/seitenWechsel.ts
INVENTUR|     5|171daa8452c5|src/core/blocks/styleCss.ts
TEIL   |   200|f124b2c5d1c1|src/core/blocks/treeQuery.ts
INVENTUR|   399|99146c61893a|src/core/data/aktionen.ts
INVENTUR|    40|9aa8389faaf7|src/core/data/auswahlFolge.ts
INVENTUR|   324|4634937e9b5e|src/core/data/dataSources.ts
INVENTUR|    50|69474dc4a45c|src/core/data/datenquellen.test.ts
INVENTUR|   210|08ec7ce5eb46|src/core/data/dtkImport.ts
INVENTUR|    68|a6df6b78246c|src/core/data/holWert.test.ts
INVENTUR|    63|dfbc1d1f0988|src/core/data/holWert.ts
INVENTUR|    22|d5979156ba4a|src/core/data/ladeProblem.ts
INVENTUR|    77|69a8855e5e67|src/core/data/ladeRelation.ts
INVENTUR|   318|9ddf0c4bfb30|src/core/data/quellenArten.ts
INVENTUR|    55|35cde690eabf|src/core/data/quellenEingabe.ts
INVENTUR|   144|ebbf228e2fc3|src/core/data/rechnung.test.ts
VOLL   |   206|aa4ae99eacac|src/core/data/rechnung.ts
INVENTUR|   210|9fc466b577a3|src/core/data/relations.ts
INVENTUR|   177|a53a52cce745|src/core/data/schrittPruefung.test.ts
INVENTUR|   118|0b48160cabc6|src/core/data/schrittPruefung.ts
INVENTUR|   107|66da70eb9fb5|src/core/data/sourceLinks.ts
INVENTUR|    82|2f907cf38261|src/design/masken-tokens.css
VOLL   |   123|5e3c41e0881b|src/editor/canvas/AuswahlLeiste.tsx
VOLL   |   236|bff8ef262ef0|src/editor/canvas/BlockHost.tsx
INVENTUR|   124|44da464aa884|src/editor/canvas/Canvas.tsx
INVENTUR|   172|b87322f25ce3|src/editor/canvas/CanvasNode.tsx
INVENTUR|   331|2e128195c948|src/editor/canvas/FeldBindung.tsx
INVENTUR|   375|868d320de5df|src/editor/canvas/FieldPicker.tsx
INVENTUR|    20|da0a72b4c96f|src/editor/canvas/LeerHinweis.tsx
INVENTUR|   189|5c0a1d07c9a0|src/editor/canvas/PopupSeite.tsx
INVENTUR|    81|ee21a66ac2a4|src/editor/canvas/SeitenLeiste.tsx
TEIL   |   214|5ca846f6a763|src/editor/canvas/SpaltenBedienung.tsx
INVENTUR|    19|bb2534d5fe3c|src/editor/canvas/dnd.ts
